topo, k, flow_count, threshold, cm_avg, cm_hit, cm_time, sv_avg, sv_hit, sv_time, cs_avg, cs_hit, cs_time, cm_min, cm_max, sv_min, sv_max, cs_min, cs_max
fattree8,100,50000,0.99 ,0.57951598210262,497,57.1512,0.879147377572733,496,17400.2578,0.967156655061814,500,167.4453,0 , 1 ,0 , 1 ,8.6400552963539E-05 , 6.60638634875715 ,
fattree8,100,50000,0.98 ,0.572799129036695,996,57.1512,0.888112703131805,993,17400.2578,0.958041316408112,1000,167.4453,0 , 1 ,0 , 1 ,8.6400552963539E-05 , 6.60638634875715 ,
fattree8,100,50000,0.95 ,0.62145710734369,2494,57.1512,0.886616994641438,2476,17400.2578,1.04234927656101,2500,167.4453,0 , 1 ,0 , 1 ,8.6400552963539E-05 , 9.53046932162642 ,
fattree8,200,50000,0.99 ,0.351030400303147,486,212.5645,0.778431673788336,491,35130.3933,0.55185043278778,498,174.4635,0 , 1 ,0 , 1 ,0 , 3.74036288500032 ,
fattree8,200,50000,0.98 ,0.342276228783132,977,212.5645,0.788204782457709,982,35130.3933,0.60007306322852,998,174.4635,0 , 1 ,0 , 1 ,0 , 3.81081081081081 ,
fattree8,200,50000,0.95 ,0.387162166860285,2450,212.5645,0.771577191866559,2442,35130.3933,0.766631510549241,2498,174.4635,0 , 1 ,0 , 1 ,0 , 7.22146752128576 ,
fattree8,400,50000,0.99 ,0.130211295052364,459,80.2126,0.581741485819928,475,65597.2349,0.231808398557466,498,223.5949,0 , 1 ,0 , 1 ,0 , 1.60272595689932 ,
fattree8,400,50000,0.98 ,0.131232093252727,911,80.2126,0.595527327668628,952,65597.2349,0.269524509812273,997,223.5949,0 , 1 ,0 , 1 ,0 , 1.94784762182242 ,
fattree8,400,50000,0.95 ,0.149904084306934,2297,80.2126,0.575784404270715,2355,65597.2349,0.350122862452115,2486,223.5949,0 , 1 ,0 , 1 ,0 , 2.92490502963076 ,
fattree8,700,50000,0.99 ,0.0431129974455398,424,84.2233,0.367096602959322,440,94450.9409,0.122540164924144,490,277.7385,0 , 0.570614686108443 ,0 , 1 ,0 , 1.09283599258675 ,
fattree8,700,50000,0.98 ,0.0436848115876467,838,84.2233,0.379145009616733,898,94450.9409,0.131583590991365,978,277.7385,0 , 0.788910206305218 ,0 , 1 ,0 , 1.63905017961637 ,
fattree8,700,50000,0.95 ,0.0521048303142488,2091,84.2233,0.361272767718275,2229,94450.9409,0.166068056218658,2447,277.7385,0 , 1 ,0 , 1 ,0 , 1.76041820055956 ,
fattree8,1000,50000,0.99 ,0.0184584268735167,370,69.184,1128253750374.53,425,96988.6883,0.0881186343945527,480,309.8231,0 , 0.878719412559763 ,0 , 48129641804539.7 ,0 , 0.826866487304523 ,
fattree8,1000,50000,0.98 ,0.0182305729710122,729,69.184,1058335995694.59,868,96988.6883,0.0873057310194961,961,309.8231,0 , 0.878719412559763 ,0 , 48129641804539.7 ,0 , 0.848788543763998 ,
fattree8,1000,50000,0.95 ,0.024263901472128,1834,69.184,1204787216920.21,2149,96988.6883,0.102786095577418,2416,309.8231,0 , 1 ,0 , 77789724351046.1 ,0 , 1.81234188034188 ,
fattree8,1500,50000,0.99 ,0.00569043111610389,262,87.2648,2984180614217.03,404,76803.1449,0.0498456664272601,456,334.9262,0 , 0.274094071228325 ,0 , 46950704699741.3 ,0 , 0.678641155798516 ,
fattree8,1500,50000,0.98 ,0.00539428830498399,527,87.2648,3401076833564.99,820,76803.1449,0.0522138759800606,914,334.9262,0 , 0.278897240653233 ,0 , 56164730464345.2 ,0 , 2.17481645971177 ,
fattree8,1500,50000,0.95 ,0.00776686398093974,1313,87.2648,4091742985999.29,2032,76803.1449,0.0638718687992625,2258,334.9262,0 , 0.742221353403056 ,0 , 77079826482155.9 ,0 , 2.17481645971177 ,
fattree8,2000,50000,0.99 ,0.00258904943339833,181,162.4328,300239497684.141,357,67348.0072,0.0303910565233187,428,365.9943,0 , 0.134449549946497 ,0 , 32855893150002 ,0 , 0.552123155341801 ,
fattree8,2000,50000,0.98 ,0.00239386994412474,354,162.4328,358709072590.212,722,67348.0072,0.0322329052066887,835,365.9943,0 , 0.134449549946497 ,0 , 37955326357599.3 ,0 , 0.645102939426395 ,
fattree8,2000,50000,0.95 ,0.00364192356017611,909,162.4328,405141245274.359,1749,67348.0072,0.038825333020179,2072,365.9943,0 , 0.498768176901815 ,0 , 73168845884803.4 ,0 , 0.993097861309138 ,
fattree8,2500,50000,0.99 ,0.00107732918499746,130,111.2633,0.0349707291384741,305,54663.3197,0.0220435201955656,373,358.9539,0 , 0.152822328681525 ,0 , 0.499989835125739 ,0 , 0.599353340711325 ,
fattree8,2500,50000,0.98 ,0.00127891918429348,235,111.2633,0.0348184028134907,625,54663.3197,0.0231658903495471,744,358.9539,0 , 0.237648773378674 ,0 , 0.499989835125739 ,0 , 0.599353340711325 ,
fattree8,2500,50000,0.95 ,0.00176396032841119,572,111.2633,0.0313684874315617,1518,54663.3197,0.0271736542749777,1866,358.9539,0 , 0.288929747041903 ,0 , 0.499989835125739 ,0 , 0.802173087595292 ,
fattree8,3000,50000,0.99 ,0.00108479561459541,74,106.2829,0.0198925237978132,276,47581.4934,0.0162289139079393,350,342.9106,0 , 0.227360696718007 ,0 , 0.499979979178345 ,0 , 0.280795667569256 ,
