topo, k, flow_count, threshold, cm_avg, cm_min, cm_max, cm_hit, cm_time, cs_avg, cs_min, cs_max, cs_hit, cs_time
fattree8,3000,129223,0.99 , 0.439195990597464 , 1.34780577220285E-05 , 1 , 1292,139.87050.99 , 0.34198027319367 , 7.19581836603113E-06 , 1.83583563808771 , 1292,745.9796
fattree8,3000,129223,0.98 , 0.583233387482106 , 1.34780577220285E-05 , 1 , 2584,139.87050.98 , 0.679741007841535 , 7.19581836603113E-06 , 4.67555266579974 , 2584,745.9796
fattree8,3000,129223,0.95 , 0.763864387491946 , 1.34780577220285E-05 , 1 , 6461,139.87050.95 , 0.957206100313814 , 7.19581836603113E-06 , 133.581304006284 , 6461,745.9796
fattree8,2500,129223,0.99 , 0.488834174780175 , 3.4473248758963E-05 , 1 , 1292,76.86360.99 , 0.449873871995356 , 3.76435159043855E-05 , 3.3930102209034 , 1292,406.569
fattree8,2500,129223,0.98 , 0.635506570615201 , 3.4473248758963E-05 , 1 , 2584,76.86360.98 , 0.841675726311358 , 3.76435159043855E-05 , 243.904761904762 , 2584,406.569
fattree8,2500,129223,0.95 , 0.802484619731951 , 0 , 1 , 6460,76.86360.95 , 0.99566683979139 , 3.76435159043855E-05 , 243.904761904762 , 6461,406.569
fattree8,2000,129223,0.99 , 0.553271013375423 , 7.5038055013614E-05 , 1 , 1292,76.36540.99 , 0.582921859986549 , 1.17865655042587E-05 , 4 , 1292,415.1488
fattree8,2000,129223,0.98 , 0.692664735888264 , 7.5038055013614E-05 , 1 , 2584,76.36540.98 , 0.83164721808237 , 1.17865655042587E-05 , 14.0702127659574 , 2584,415.1488
fattree8,2000,129223,0.95 , 0.842237967539204 , 7.5038055013614E-05 , 1 , 6461,76.36540.95 , 1.01165483597696 , 1.17865655042587E-05 , 98.6324110671937 , 6461,415.1488
fattree8,1500,129223,0.99 , 0.629470334708651 , 0.000115609701647239 , 1 , 1292,79.21120.99 , 0.726906585237025 , 3.16468715485131E-06 , 32.6835820895522 , 1292,399.4319
fattree8,1500,129223,0.98 , 0.760006997357141 , 0 , 1 , 2582,79.21120.98 , 0.889622769170202 , 3.16468715485131E-06 , 32.6835820895522 , 2584,399.4319
fattree8,1500,129223,0.95 , 0.882143387755057 , 0 , 1 , 6459,79.21120.95 , 1.02910586778129 , 3.16468715485131E-06 , 63.1432973805855 , 6461,399.4319
fattree8,1000,129223,0.99 , 0.726459500996637 , 0.00050254385595769 , 1 , 1292,75.21570.99 , 0.907767150765084 , 2.41472158440335E-05 , 70.5841216216216 , 1292,382.2585
