DEBUG:
  topology flowcount         k      sv_k,       CountMax    SketchVisor
  fattree6     10000        10        12         8.5221       117.8134
  fattree6     10000        50        60          8.022       430.1439
  fattree6     10000       100       120         7.5203       706.9388
  fattree6     10000       200       240         7.0185      1483.1433
  fattree6     10000       400       480         8.5225      2960.4393
  fattree6     10000       700       840         7.5186      4341.8864
  fattree6     10000      1000      1200         9.0158      4711.0637
  fattree6     10000      2000      2400         7.4895      2065.9277
  fattree6     10000      4000      4800         7.9905       220.4255
  fattree6     10000      7000      8400        10.0568        42.1111
  fattree6     10000     10000     12000         12.032         1.5036
  fattree6     20000        10        12        14.0684       148.3961
  fattree6     20000        50        60        14.5371       672.7939
  fattree6     20000       100       120        16.0722      1452.3328
  fattree6     20000       200       240        14.0377       3260.416
  fattree6     20000       400       480         15.574       6806.229
  fattree6     20000       700       840        22.5791     11516.6844
  fattree6     20000      1000      1200        16.5319     15851.6418
  fattree6     20000      2000      2400        33.5896     21608.8435
  fattree6     20000      4000      4800        40.0753     13461.9196
  fattree6     20000      7000      8400        33.0882      3328.9789
  fattree6     20000     10000     12000        36.5975       757.0144
  fattree6     30000        10        12        22.5601        255.179
  fattree6     30000        50        60        24.5658      1067.8403
  fattree6     30000       100       120        24.0569      2377.3629
  fattree6     30000       200       240        25.0672      5488.2546
  fattree6     30000       400       480        25.0675     10958.4847
  fattree6     30000       700       840         25.568     19773.1687
  fattree6     30000      1000      1200        27.0718      27115.947
  fattree6     30000      2000      2400         30.081     42712.2141
  fattree6     30000      4000      4800         41.099     42522.5869
  fattree6     30000      7000      8400        36.6555     20152.2017
  fattree6     30000     10000     12000        40.5741      7349.5452
  fattree6     40000        10        12        29.1099       307.3481
  fattree6     40000        50        60        30.5542      1350.8752
  fattree6     40000       100       120        32.5592      3065.9615
  fattree6     40000       200       240        29.6101      6831.2846
  fattree6     40000       400       480        31.0848     14649.8411
  fattree6     40000       700       840        31.5545     26112.6276
  fattree6     40000      1000      1200        31.5869     36875.9823
  fattree6     40000      2000      2400        35.0929      64386.039
  fattree6     40000      4000      4800        44.1177     79841.1833
  fattree6     40000      7000      8400        43.6477     56040.0407
  fattree6     40000     10000     12000        53.1406     27884.4069
  fattree6     50000        10        12         46.123       374.4962
  fattree6     50000        50        60        38.1014      1749.6828
  fattree6     50000       100       120        42.0838      3915.5558
  fattree6     50000       200       240        38.1007      9241.0524
  fattree6     50000       400       480        38.6381      19461.901
  fattree6     50000       700       840        39.1036     35090.9368
  fattree6     50000      1000      1200        47.6276     48145.0196
  fattree6     50000      2000      2400        52.1085    100128.5773
  fattree6     50000      4000      4800        61.1632    152385.0243
  fattree6     50000      7000      8400       100.7672    134356.9149
  fattree6     50000     10000     12000       106.7845     81115.5677
   hyperx7     10000        10        12          8.021         84.224
   hyperx7     10000        50        60         8.5227       397.0567
   hyperx7     10000       100       120         9.0238       901.3979
   hyperx7     10000       200       240         7.5199      1950.1996
   hyperx7     10000       400       480         6.0163      3737.4426
   hyperx7     10000       700       840        12.0314      5389.3375
   hyperx7     10000      1000      1200         8.5225      5942.8214
   hyperx7     10000      2000      2400        12.0323      3895.3636
   hyperx7     10000      4000      4800        10.5281        18.5487
   hyperx7     10000      7000      8400        19.0508        11.0295
   hyperx7     10000     10000     12000        18.0477         3.0082
   hyperx7     20000        10        12         12.032       187.4986
   hyperx7     20000        50        60         13.536       870.3153
   hyperx7     20000       100       120        15.0396      1778.2313
   hyperx7     20000       200       240        14.0374      4030.2215
   hyperx7     20000       400       480        15.5416      8397.8587
   hyperx7     20000       700       840        14.5391     14252.9497
   hyperx7     20000      1000      1200        17.5466     18844.6672
   hyperx7     20000      2000      2400        24.5651      24497.172
   hyperx7     20000      4000      4800        26.5708     15115.7753
   hyperx7     20000      7000      8400        28.5783      3820.1692
   hyperx7     20000     10000     12000        29.5786       788.0976
   hyperx7     30000        10        12        21.5573       286.7632
   hyperx7     30000        50        60        19.5523      1208.7152
   hyperx7     30000       100       120        25.0672      2731.2658
   hyperx7     30000       200       240        21.0562      5996.9549
   hyperx7     30000       400       480        20.5541     12717.3595
   hyperx7     30000       700       840        17.0452      22864.829
   hyperx7     30000      1000      1200        21.5573      31752.518
   hyperx7     30000      2000      2400        32.0857     49926.3355
   hyperx7     30000      4000      4800        42.1124     51696.0411
   hyperx7     30000      7000      8400        39.1042     23787.4743
   hyperx7     30000     10000     12000        39.6336      8710.8933
   hyperx7     40000        10        12        28.5764       358.4539
   hyperx7     40000        50        60        26.0697      1639.8622
   hyperx7     40000       100       120        35.0932      3690.3187
   hyperx7     40000       200       240        25.0659      7999.7828
   hyperx7     40000       400       480        31.0822     17965.2943
   hyperx7     40000       700       840        28.5768     32048.7821
   hyperx7     40000      1000      1200        30.5808      44657.807
   hyperx7     40000      2000      2400        38.6028     80404.4332
   hyperx7     40000      4000      4800         50.134    102603.0614
   hyperx7     40000      7000      8400        47.6263     13076.2877
   hyperx7     40000     10000     12000         61.664      34201.023
   hyperx7     50000        10        12        31.0825       400.5653
   hyperx7     50000        50        60        30.5814      2085.5477
   hyperx7     50000       100       120        50.6348      4849.4016
   hyperx7     50000       200       240        40.6078     10811.7831
   hyperx7     50000       400       480        40.6084     22832.7822
   hyperx7     50000       700       840        42.6135     40796.0506
   hyperx7     50000      1000      1200        45.6172      59442.666
   hyperx7     50000      2000      2400        56.1497    108042.4698
   hyperx7     50000      4000      4800        53.1416     155173.478
   hyperx7     50000      7000      8400        102.272    135451.4737
   hyperx7     50000     10000     12000        94.2508     84567.5033
