sketch,topo,flow,k,threshold,avg,min,max,hit,hitrate,sv_avg,sv_min,sv_max,sv_hit,sv_hitrate
CountMax ,fattree6 ,10000,10,0.3,0.027069702,0,0.998499625,324,0.046285714,0.034932016,0,0.998997996,360,0.051428571
CountMax ,fattree6 ,10000,10,0.5,0.037468483,0,0.998499625,318,0.0636,0.048563995,0,0.998997996,356,0.0712
CountMax ,fattree6 ,10000,10,0.7,0.057028369,0,0.998499625,286,0.095333333,0.076806906,0,0.998997996,326,0.108666667
CountMax ,fattree6 ,10000,10,0.8,0.071651961,0,0.998499625,236,0.118,0.098215862,0,0.998997996,253,0.1265
CountMax ,fattree6 ,10000,10,0.9,0.101474991,0,0.998499625,168,0.168,0.109174143,0,0.994764398,128,0.128
CountMax ,fattree6 ,10000,10,0.99,0.140672163,0,0.988626964,21,0.21,0.065052357,0,0.978486486,7,0.07
CountMax ,fattree6 ,10000,50,0.3,0.143904386,0,1,1589,0.227,0.144287215,0,1,1416,0.202285714
CountMax ,fattree6 ,10000,50,0.5,0.194630008,0,1,1536,0.3072,0.199200203,0,1,1390,0.278
CountMax ,fattree6 ,10000,50,0.7,0.287677772,0,1,1358,0.452666667,0.306407441,0,0.999201278,1227,0.409
CountMax ,fattree6 ,10000,50,0.8,0.360100101,0,1,1123,0.5615,0.377891518,0,0.998901501,925,0.4625
CountMax ,fattree6 ,10000,50,0.9,0.465976706,0,1,699,0.699,0.407368627,0,0.998901501,453,0.453
CountMax ,fattree6 ,10000,50,0.99,0.611507456,0,0.999299229,88,0.88,0.375590249,0,0.994914902,40,0.4
CountMax ,fattree6 ,10000,100,0.3,0.294238183,0,1,2849,0.407,0.257890929,0,0.99988278,2474,0.353428571
CountMax ,fattree6 ,10000,100,0.5,0.386571121,0,1,2668,0.5336,0.356079317,0,0.99988278,2412,0.4824
CountMax ,fattree6 ,10000,100,0.7,0.53277608,0,1,2176,0.725333333,0.512854337,0,0.99988278,1997,0.665666667
CountMax ,fattree6 ,10000,100,0.8,0.640048036,0,1,1684,0.842,0.610874378,0,0.99988278,1435,0.7175
CountMax ,fattree6 ,10000,100,0.9,0.751374841,0,1,938,0.938,0.667375471,0,0.99988278,727,0.727
CountMax ,fattree6 ,10000,100,0.99,0.844788161,0,1,99,0.99,0.667805499,0,0.999781897,70,0.7
CountMax ,fattree6 ,10000,200,0.3,0.552037071,0,1,4627,0.661,0.431984201,0,1,3796,0.542285714
CountMax ,fattree6 ,10000,200,0.5,0.670535297,0,1,3968,0.7936,0.545787583,0,1,3451,0.6902
CountMax ,fattree6 ,10000,200,0.7,0.811870672,0,1,2781,0.927,0.744746599,0,1,2742,0.914
CountMax ,fattree6 ,10000,200,0.8,0.87139781,0,1,1939,0.9695,0.832583014,0,1,1850,0.925
CountMax ,fattree6 ,10000,200,0.9,0.91983714,0,1,995,0.995,0.862706844,0,1,911,0.911
CountMax ,fattree6 ,10000,200,0.99,0.962239969,0.658282016,1,100,1,0.874038692,0,1,90,0.9
CountMax ,fattree6 ,10000,400,0.3,0.834584055,0,1,6249,0.892714286,0.658480431,0,1,5374,0.767714286
CountMax ,fattree6 ,10000,400,0.5,0.908494367,0,1,4784,0.9568,0.821445253,0,1,4756,0.9512
CountMax ,fattree6 ,10000,400,0.7,0.962633515,0,1,2979,0.993,0.953690909,0,1,2999,0.999666667
CountMax ,fattree6 ,10000,400,0.8,0.976282949,0,1,1996,0.998,0.977041724,0,1,1998,0.999
CountMax ,fattree6 ,10000,400,0.9,0.984466478,0,1,998,0.998,0.986798178,0,1,998,0.998
CountMax ,fattree6 ,10000,400,0.99,0.994013289,0.866716149,1,100,1,0.993531581,0.96252073,1,100,1
CountMax ,fattree6 ,10000,700,0.3,0.959609307,0,1,6847,0.978142857,0.945277144,0,1,6914,0.987714286
CountMax ,fattree6 ,10000,700,0.5,0.982175794,0,1,4970,0.994,0.985933098,0.432098765,1,5000,1
CountMax ,fattree6 ,10000,700,0.7,0.993316619,0,1,2996,0.998666667,0.99724921,0.922330097,1,3000,1
